textID,text,sentiment,Labels
cb774db0d1," I`d have responded, if I were going",neutral,Social
549e992a42, Sooo SAD I will miss you here in San Diego!!!,negative,Social
088c60f138,my boss is bullying me...,negative,Social
9642c003ef, what interview! leave me alone,negative,Social
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought",negative,Political
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,Economy
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,positive,Technology
50e14c0bb8,Soooo high,neutral,Social
e050245fbd, Both of you,neutral,Political
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,Economy
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,Social
16fab9f95b,I really really like the song Love Story by Taylor Swift,positive,Social
74a76f6e0a,My Sharpie is running DANGERously low on ink,negative,Technology
04dd1d2e34,i want to go to music tonight but i lost my voice.,negative,Social
bbe3cbf620,test test from the LG enV2,neutral,Political
8a939bfb59,"Uh oh, I am sunburned",negative,Economy
3440297f8b," S`ok, trying to plot alternatives as we speak *sigh*",negative,Technology
919fa93391,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,Social
af3fed7fc3,is back home now      gonna miss every one,negative,Political
40e7becabf,Hes just not that into you,neutral,Economy
04d17ef61e," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,Technology
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,Economy
7de057cf40,is cleaning the house for her family who is comming later today..,neutral,Social
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,Technology
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,Social
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted",positive,Technology
852edc3769,  I`m sorry.,negative,Political
bdc32ea43c,On the way to Malaysia...no internet access to Twit,negative,Technology
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,Economy
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,negative,Economy
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,Social
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,positive,Technology
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,Technology
2dc51711bc, That`s very funny.  Cute kids.,positive,Social
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,Political
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,Social
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,Social
1cbc812ece,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,Technology
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,Social
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive,Social
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,Technology
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,positive,Social
2e7082d1c8,MAYDAY?!,neutral,Political
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,Economy
